Name,AudReg
train62_audtrain2_2024-01-26,0.69
train62_audtrain2_2024-01-27,0.81
train62_audtrain2_2024-01-28,0.81
train62_audtrain2_2024-01-29,0.92
train62_audtrain2_2024-01-30,1
train62_audtrain2_2024-01-31,0.94
train62_audtrain2_2024-02-01,0.92
train62_audtrain2_2024-02-02,0.86
train62_audtrain2_2024-02-06,1
train64_audtrain1_2024-01-30,0.67
train64_audtrain1_2024-01-31,0.58
train64_audtrain1_2024-02-01,0.56
train64_audtrain1_2024-02-03,0.58
train64_audtrain1_2024-02-04,0.67
train64_audtrain1_2024-02-05,0.61
train64_audtrain1_2024-02-06,0.69
train64_audtrain1_2024-02-07,0.58
train64_audtrain1_2024-02-08,0.64
train64_audtrain1_2024-02-09,0.69
train64_audtrain1_2024-02-10,0.67
train64_audtrain1_2024-02-12,0.5
train69_audtrain2_2024-02-02,0.58
train69_audtrain2_2024-02-03,0.75
train69_audtrain2_2024-02-04,0.97
train69_audtrain2_2024-02-05,0.92
train69_audtrain2_2024-02-07,0.86
train69_audtrain2_2024-02-08,0.92
train69_audtrain2_2024-02-09,0.97
train69_audtrain2_2024-02-11,0.89
train69_audtrain2_2024-02-12,0.94
train69_audtrain2_2024-02-13,0.92
train69_audtrain2_2024-02-14,0.97
train69_audtrain2_2024-02-15,0.96
train72_audtrain1_2024-02-29,0.71
train72_audtrain1_2024-03-01,0.44
train72_audtrain1_2024-03-02,0.58
train72_audtrain1_2024-03-03,0.64
train72_audtrain1_2024-03-04,0.75
train72_audtrain1_2024-03-05,0.64
train72_audtrain1_2024-03-06,0.61
train72_audtrain1_2024-03-07,0.61
train72_audtrain1_2024-03-08,0.64
train72_audtrain1_2024-03-09,0.81
train72_audtrain1_2024-03-10,0.75
train72_audtrain1_2024-03-12,0.67
train74_audtrain2_2024-03-05,0.67
train74_audtrain2_2024-03-09,0.58
train74_audtrain2_2024-03-10,0.75
train74_audtrain2_2024-03-11,0.58
train74_audtrain2_2024-03-12,0.86
train74_audtrain2_2024-03-13,0.64
train74_audtrain2_2024-03-14,0.81
train74_audtrain2_2024-03-15,0.86
train74_audtrain2_2024-03-16,0.72
train74_audtrain2_2024-03-17,0.61
train74_audtrain2_2024-03-18,0.75
train74_audtrain2_2024-03-19,0.88
train79_audtrain1_2024-03-12,0.38
train79_audtrain1_2024-03-12,0.69
train79_audtrain1_2024-03-13,0.64
train79_audtrain1_2024-03-14,0.69
train79_audtrain1_2024-03-15,0.75
train79_audtrain1_2024-03-16,0.64
train79_audtrain1_2024-03-17,0.72
train79_audtrain1_2024-03-18,0.5
train79_audtrain1_2024-03-19,0.5
train79_audtrain1_2024-03-20,0.44
train79_audtrain1_2024-03-21,0.56
train79_audtrain1_2024-03-26,0.42
train81_audtrain1_2024-03-16,0.92
train81_audtrain1_2024-03-18,0.78
train81_audtrain1_2024-03-20,0.81
train81_audtrain1_2024-03-22,0.5
train81_audtrain1_2024-03-23,0.86
train81_audtrain1_2024-03-24,0.92
train81_audtrain1_2024-03-25,0.92
train81_audtrain1_2024-03-26,0.92
train81_audtrain1_2024-03-27,0.86
train81_audtrain1_2024-03-28,0.64
train81_audtrain1_2024-03-29,0.72
train81_audtrain1_2024-03-30,0.96
