key_resp.keys,key_resp.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,volstandard,voldeviant,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,RegStandardPitch,RegDeviantPitch,key_resp_5.keys,key_resp_5.rt,RegAudSequence,diff-reg,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_7.keys,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,standard,devient,key_resp_6.keys,key_resp_6.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.keys,key_resp_10.rt
space,0.6655,space,0.4508,space,0.4747,0,0,0,0,1,RegPatterns/01-ms_2_2_4_1_3_unit230.mp3,RegPatterns/01d-ms_2_2_4_3_1_unit230.mp3,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,space,3.8793,g,0.8968,0,0,0,0,1,RegPatterns/Noise.mp3,RegPatterns/Noise.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,space,1.7329,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/21d-ms_2_1_1_3_1_3_1_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,3,2396.4452,0,0,0,7,1,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,RegPatterns/21d-ms_2_1_1_3_1_3_1_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/24d-ms_4_2_1_1_2_1_1_unit230.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,3,6.634,0,1,1,9,1,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,RegPatterns/24d-ms_4_2_1_1_2_1_1_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/15d-ms_2_2_1_3_1_3_unit270.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/15-ms_2_2_1_3_3_1_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/15-ms_2_2_1_3_3_1_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,1,0.309,0,2,2,5,1,RegPatterns/15-ms_2_2_1_3_3_1_unit270.mp3,RegPatterns/15d-ms_2_2_1_3_1_3_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/23d-ms_4_1_1_1_1_1_3_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,1,0.3331,0,3,3,8,1,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,RegPatterns/23d-ms_4_1_1_1_1_1_3_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/07-ms_1_1_2_3_1_4_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/07-ms_1_1_2_3_1_4_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/07d-ms_1_1_2_1_3_4_unit230.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,2,4.0421,0,4,4,2,1,RegPatterns/07-ms_1_1_2_3_1_4_unit230.mp3,RegPatterns/07d-ms_1_1_2_1_3_4_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/13-ms_2_1_1_2_2_4_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/13d-ms_1_1_2_2_2_4_unit230.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/13-ms_2_1_1_2_2_4_unit230.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,3,4.7775,0,5,5,4,1,RegPatterns/13-ms_2_1_1_2_2_4_unit230.mp3,RegPatterns/13d-ms_1_1_2_2_2_4_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/28d-ms_2_1_1_2_1_1_4_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/28-ms_2_2_1_1_1_1_4_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/28-ms_2_2_1_1_1_1_4_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,2,0.3355,0,6,6,11,1,RegPatterns/28-ms_2_2_1_1_1_1_4_unit250.mp3,RegPatterns/28d-ms_2_1_1_2_1_1_4_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/06d-ms_4_1_3_2_2_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,3,0.3607,0,7,7,1,1,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,RegPatterns/06d-ms_4_1_3_2_2_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/17-ms_4_1_1_2_3_1_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/17-ms_4_1_1_2_3_1_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,RegPatterns/17d-ms_4_1_1_2_1_3_unit250.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-26_17h32.25.808,AudTraining1,2021.2.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,3,0.7656,0,8,8,6,1,RegPatterns/17-ms_4_1_1_2_3_1_unit250.mp3,RegPatterns/17d-ms_4_1_1_2_1_3_unit250.mp3,,,,,,,,,
